year,crop,region,temperature,rainfall,humidity,soil_nitrogen,soil_ph,yield
2010,Wheat,North,28.4901424590337,779.2603548243223,68.79088666995858,184.21125308164386,6.3916655057071825,2.790537899810203
2010,Wheat,South,20.213515699898203,1036.8819223261087,71.13947783322327,138.2631403516262,5.863649934414202,3.1396816047944562
2010,Wheat,East,23.285859502737576,661.3875743379342,45.487153479551814,165.0860306259533,5.593331326427231,2.539987101140827
2010,Wheat,West,24.69607049417077,796.3317233758902,67.84441053697945,160.42527774157938,6.4009985039390855,2.73908387642651
2010,Rice,North,18.919841152809724,967.9135417342757,67.32827201009746,134.11100649313403,6.380304987479203,3.4986502775262065
2010,Rice,South,23.8268672131323,742.0290574153166,55.72983806459934,164.15282066952602,6.35031174898249,3.772510120458575
2010,Rice,East,23.968999391834892,590.9874588690944,70.90773263996329,154.28420702974927,5.676985004103839,3.0591823191421406
2010,Rice,West,20.250117359389336,1151.111950115457,73.56788149613895,152.41041197575646,6.051998364045087,3.364814700031776
2010,Maize,North,20.469740229922145,723.0011891904251,69.65698235770431,172.19371148983393,6.958014336081975,2.4160782476777363
2010,Maize,South,26.072362872446355,774.7692367851372,74.31814916403619,143.856307814324,6.837682505327215,2.6653365448967286
2010,Maize,East,27.85001618652154,1058.9774702863047,64.42391902735733,175.0883224473006,5.739188491876604,2.337566718038021
2010,Maize,West,27.386786391687824,683.0447179010182,58.2488291172486,146.23665354350544,5.903438404670792,2.283272021169977
2010,Barley,North,22.820548209014994,944.1760649627532,72.22825992500674,150.47500827655375,5.99858445829775,2.3477894044741516
2010,Barley,South,21.44518934517906,768.175786743256,61.58504964768222,162.53620828812012,7.242921180375435,2.5474005318225235
2010,Barley,East,23.410719388698883,876.9901149670034,62.24735566950945,168.76964713973553,5.7441759094013465,2.0451674926373293
2010,Barley,West,22.232706089123173,741.1837770301763,53.29188041494305,157.4030069266144,5.513904261062382,2.1148002508570896
2010,Sorghum,North,15.03447185730959,851.827691583315,56.22987363774916,172.8721080481503,5.988251044495549,1.7516877321248707
